STSSAID,SSAID,MUKEY,MUID,MUSYM,MUNAME,MUKIND,AGVAL,FLOOD,FORSTGRP,FORSTVAL,FROSTACTION,GRAVEL,HYDRIC,HYDROGROUP,ONSITE,PARENT,PARENTSUB,PRIME,ROCKSHALLOW,ROCKDEEP,SAND,SLOPELOW,SLOPEHIGH,WATERSHALLOW,WATERDEEP,WATERKIND,TFACTOR,date_download
VT001,1,281222,001AdA,AdA,"Adams loamy sand, 0 to 8 percent slopes",C,6,none,2,83,low,Poor,N,A,Ia,GF,SGF,Statewide,60,60,Good,0,8,6,6,NONE,5,3/29/17
VT001,1,281223,001AdB,AdB,"Adams loamy sand, 8 to 15 percent slopes",C,7,none,2,83,low,Poor,N,A,Ia,GF,SGF,Statewide (a),60,60,Good,8,15,6,6,NONE,5,3/29/17
VT001,1,281224,001AdD,AdD,"Adams loamy sand, 15 to 25 percent slopes",C,8,none,3,74,low,Poor,N,A,Ib,GF,SGF,NPSL,60,60,Good,15,25,6,6,NONE,5,3/29/17
VT001,1,281225,001AdE,AdE,"Adams loamy sand, 25 to 60 percent slopes",C,11,none,3,74,low,Poor,N,A,IIe,GF,SGF,NPSL,60,60,Good,25,60,6,6,NONE,5,3/29/17
VT001,1,281226,001AmB,AmB,"Amenia stony loam, 0 to 8 percent slopes",C,3,none,1,100,moderate,Poor,N,C,IIh,DT,ADT,Prime,60,60,Poor,0,8,1.5,3,PERCH,3,3/29/17
VT001,1,281227,001AmC,AmC,"Amenia stony loam, 8 to 15 percent slopes",C,7,none,1,100,moderate,Poor,N,C,IIh,DT,ADT,Statewide,60,60,Poor,8,15,1.5,3,PERCH,3,3/29/17
VT001,1,281228,001AsC,AsC,"Amenia extremely stony loam, 0 to 15 percent slopes",C,11,none,3,74,moderate,Poor,N,C,IIh,DT,ADT,NPSL,60,60,Poor,0,15,1.5,3,PERCH,3,3/29/17
VT001,1,281229,001AsD,AsD,"Amenia extremely stony loam, 15 to 25 percent slopes",C,11,none,4,63,moderate,Poor,N,C,IIIe,DT,ADT,NPSL,60,60,Poor,15,25,1.5,3,PERCH,3,3/29/17
VT001,1,281230,001BeA,BeA,"Berkshire and Marlow soils, 0 to 3 percent slopes",U,1,none,2,83,moderate,Poor,N,B,IIh,GT/DT,SGT/SDT,Prime,60,60,Poor,0,3,6,6,NONE,5,3/29/17
VT001,1,281231,001BeB,BeB,"Berkshire and Marlow soils, 3 to 12 percent slopes",U,7,none,2,83,moderate,Poor,N,B,IIh,GT/DT,SGT/SDT,Statewide,60,60,Poor,3,12,6,6,NONE,5,3/29/17
VT001,1,281232,001BeC,BeC,"Berkshire and Marlow soils, 12 to 25 percent slopes",U,7,none,3,74,moderate,Poor,N,B,IIIe,GT/DT,SGT/SDT,Statewide (a),60,60,Poor,12,25,6,6,NONE,5,3/29/17
VT001,1,281233,001BsC,BsC,"Berkshire and Marlow soils, 3 to 20 percent slopes, very stony",U,11,none,4,63,moderate,Poor,N,B,IIh,GT/DT,SGT/SDT,NPSL,60,60,Poor,3,20,6,6,NONE,5,3/29/17
VT001,1,281234,001BsE,BsE,"Berkshire and Marlow soils, 20 to 50 percent slopes, very stony",U,11,none,5,51,moderate,Poor,N,B,IVd,GT/DT,SGT/SDT,NPSL,60,60,Poor,20,50,6,6,NONE,5,3/29/17
VT001,1,281235,001BuC,BuC,"Buckland loam, 3 to 15 percent slopes, very stony",C,11,none,4,63,moderate,Poor,N,D,IIId,DT,EDT,NPSL,60,60,Poor,3,15,1,2,PERCH,3,3/29/17
VT001,1,281236,001BuD,BuD,"Buckland loam, 15 to 25 percent slopes, very stony",C,11,none,5,51,moderate,Poor,N,D,IIIe,DT,EDT,NPSL,60,60,Poor,15,25,1,2,PERCH,3,3/29/17
VT001,1,281237,001CaB,CaB,"Cabot silt loam, 0 to 8 percent slopes",C,6d,none,5,51,high,Poor,Y,D,IVa,DT,DT,Statewide (b),60,60,Poor,0,8,0,1.5,APPAR,2,3/29/17
VT001,1,281238,001CbC,CbC,"Cabot silt loam, 0 to 15 percent slopes, very stony",C,11,none,6,31,high,Poor,Y,D,IIId,DT,DT,NPSL,60,60,Poor,0,15,0,1.5,APPAR,2,3/29/17
VT001,1,281239,001ClC,ClC,"Calais and Glover soils, 5 to 20 percent slopes",U,10,none,4,63,high,Poor,N,C,IIIf,GT/DT,BGT/DT,NPSL,10,60,Poor,5,20,3,6,PERCH,3,3/29/17
VT001,1,281240,001ClE,ClE,"Calais and Glover soils, 20 to 50 percent slopes",U,11,none,6,31,high,Poor,N,C,IVb,GT/DT,BGT/DT,NPSL,10,60,Poor,20,50,3,6,PERCH,3,3/29/17
VT001,1,281241,001Cn,Cn,Canandaigua silt loam,C,3d,none,7,0,high,Poor,Y,C/D,IVa,GL,SGL,Prime (b),60,60,Poor,0,3,-1,0.5,APPAR,5,3/29/17
VT001,1,281242,001Co,Co,Cobbly alluvial land,C,11,frequent,8,,low,Not rated,U,not rated,V,A,A,NPSL,60,60,Not rated,999,999,0,6,APPAR,,3/29/17
VT001,1,281243,001CtA,CtA,"Colton gravelly sandy loam, 0 to 5 percent slopes",C,6,none,2,83,low,Good,N,A,Ia,GF,GGF,Statewide,60,60,Fair,0,5,6,6,NONE,5,3/29/17
VT001,1,281244,001CtB,CtB,"Colton gravelly sandy loam, 5 to 12 percent slopes",C,7,none,2,83,low,Good,N,A,Ia,GF,GGF,Statewide (a),60,60,Fair,5,12,6,6,NONE,5,3/29/17
VT001,1,281245,001CtD,CtD,"Colton gravelly sandy loam, 12 to 30 percent slopes",C,10,none,3,74,low,Good,N,A,Ib,GF,GGF,NPSL,60,60,Fair,12,30,6,6,NONE,5,3/29/17
VT001,1,281246,001CtE,CtE,"Colton gravelly sandy loam, 30 to 50 percent slopes",C,11,none,3,74,low,Good,N,A,IIe,GF,GGF,NPSL,60,60,Fair,30,50,6,6,NONE,5,3/29/17
VT001,1,281247,001Cv,Cv,"Covington silty clay, flooded",C,6d,frequent,6,31,moderate,Poor,Y,D,IVa,GL,CGL,Statewide (b),60,60,Poor,0,3,0.5,1,APPAR,2,3/29/17
VT001,1,281248,001Cw,Cw,Covington and Panton silty clays,U,6d,none,6,31,moderate,Poor,Y,D,IVa,GL,CGL,Statewide (b),60,60,Poor,0,3,0.5,2,APPAR,2,3/29/17
VT001,1,281249,001DaA,DaA,"Duane fine sandy loam, 0 to 5 percent slopes",C,6,none,1,100,low,Fair,N,A/D,IIh,GF,GGF,Statewide,60,60,Fair,0,5,1.5,2,APPAR,5,3/29/17
VT001,1,281250,001DaB,DaB,"Duane fine sandy loam, 5 to 12 percent slopes",C,7,none,1,100,low,Fair,N,A/D,IIh,GF,GGF,Statewide (a),60,60,Fair,5,12,1.5,2,APPAR,5,3/29/17
VT001,1,281251,001DcB,DcB,"Dutchess stony loam, 3 to 8 percent slopes",C,3,none,3,74,moderate,Poor,N,B,Ic,GT,GT,Prime,60,60,Poor,3,8,6,6,NONE,5,3/29/17
VT001,1,281252,001DcC,DcC,"Dutchess stony loam, 8 to 15 percent slopes",C,5,none,3,74,moderate,Poor,N,B,Ic,GT,GT,Statewide,60,60,Poor,8,15,6,6,NONE,5,3/29/17
VT001,1,281253,001DcD,DcD,"Dutchess stony loam, 15 to 25 percent slopes",C,8,none,3,74,moderate,Poor,N,B,Id,GT,GT,NPSL,60,60,Poor,15,25,6,6,NONE,5,3/29/17
VT001,1,281254,001DsC,DsC,"Dutchess extremely stony loam, 3 to 15 percent slopes",C,11,none,4,63,moderate,Poor,N,B,Ic,GT,GT,NPSL,60,60,Poor,3,15,6,6,NONE,5,3/29/17
VT001,1,281255,001DsE,DsE,"Dutchess extremely stony loam, 15 to 50 percent slopes",C,11,none,6,31,moderate,Poor,N,B,Id,GT,GT,NPSL,60,60,Poor,15,50,6,6,NONE,5,3/29/17
VT001,1,281256,001ElB,ElB,"Elmwood fine sandy loam, coarse variant, 0 to 8 percent slopes",C,3,none,2,83,moderate,Poor,N,C/D,IIh,GL,CGL,Prime,60,60,Poor,0,8,1.5,2,PERCH,4,3/29/17
VT001,1,281257,001ElC,ElC,"Elmwood fine sandy loam, coarse variant, 8 to 15 percent slopes",C,7,none,2,83,moderate,Poor,N,C/D,IIh,GL,CGL,Statewide,60,60,Poor,8,15,1.5,2,PERCH,4,3/29/17
VT001,1,281258,001FaC,FaC,"Farmington extremely rocky silt loam, 5 to 20 percent slopes",C,8e,none,6,31,moderate,Poor,N,D,IVc,GT,BAGT,NPSL,10,20,Poor,5,20,6,6,NONE,1,3/29/17
VT001,1,281259,001FaE,FaE,"Farmington extremely rocky silt loam, 20 to 50 percent slopes",C,11,none,6,31,moderate,Poor,N,D,IVb,GT,BAGT,NPSL,10,20,Poor,20,50,6,6,NONE,1,3/29/17
VT001,1,281260,001FdB,FdB,"Farmington stony silt loam, moderately deep variant, 3 to 8 percent slopes",C,3,none,3,74,moderate,Poor,N,C,IIc,GT,BAGT,Prime,20,40,Poor,3,8,6,6,NONE,2,3/29/17
VT001,1,281261,001FdC,FdC,"Farmington stony silt loam, moderately deep variant, 8 to 15 percent slopes",C,5,none,3,74,moderate,Poor,N,C,IIc,GT,BAGT,Statewide,20,40,Poor,8,15,6,6,NONE,2,3/29/17
VT001,1,281262,001FdD,FdD,"Farmington stony silt loam, moderately deep variant, 15 to 25 percent slopes",C,8,none,3,74,moderate,Poor,N,C,IId,GT,BAGT,NPSL,20,40,Poor,15,25,6,6,NONE,2,3/29/17
VT001,1,281263,001FdE,FdE,"Farmington stony silt loam, moderately deep variant, 25 to 50 percent slopes",C,11,none,4,63,moderate,Poor,N,C,IVb,GT,BAGT,NPSL,20,40,Poor,25,50,6,6,NONE,2,3/29/17
VT001,1,281264,001FnB,FnB,"Farmington-Nellis rocky complex, 5 to 12 percent slopes",X,7e,none,3,74,moderate,Poor,N,D,IIIa,GT,BAGT,Statewide,10,60,Poor,5,12,6,6,NONE,1,3/29/17
VT001,1,281265,001FnC,FnC,"Farmington-Nellis rocky complex, 12 to 20 percent slopes",X,9,none,3,74,moderate,Poor,N,D,IIIa,GT,BAGT,NPSL,10,60,Poor,12,20,6,6,NONE,1,3/29/17
VT001,1,281266,001FnD,FnD,"Farmington-Nellis rocky complex, 20 to 30 percent slopes",X,9,none,3,74,moderate,Poor,N,D,IVb,GT,BAGT,NPSL,10,60,Poor,20,30,6,6,NONE,1,3/29/17
VT001,1,281267,001Fw,Fw,Fresh water marsh,C,11,none,7,0,not rated,Poor,U,not rated,V,M,MFW,NPSL,999,999,Poor,999,999,99.9,99.9,NOT RATED,,3/29/17
VT001,1,281268,001Gp,Gp,Gravel pits,C,11,none,7,0,none,Good,U,not rated,V,GF,GGF,NPSL,60,60,Fair,999,999,6,6,NONE,,3/29/17
VT001,1,281269,001Hf,Hf,Hadley very fine sandy loam,C,1,occasional,1,100,high,Poor,N,B,IIIg,A,A,Prime,60,60,Poor,0,3,4,6,APPAR,5,3/29/17
VT001,1,281270,001Hh,Hh,"Hadley very fine sandy loam, frequently flooded",C,1,frequent,1,100,high,Poor,N,B,IIIg,A,A,Prime (f),60,60,Poor,0,3,4,6,APPAR,5,3/29/17
VT001,1,281271,001Le,Le,Limerick silt loam,C,4d,frequent,6,31,high,Poor,Y,B/D,IVa,A,A,Statewide (b),60,60,Poor,0,3,0,1.5,APPAR,5,3/29/17
VT001,1,281272,001Lf,Lf,"Limerick silt loam, very wet",C,10,frequent,6,31,high,Poor,Y,B/D,IVa,A,A,NPSL,60,60,Poor,0,3,0,1.5,APPAR,5,3/29/17
VT001,1,281273,001Lh,Lh,Livingston clay,C,10,none,7,0,high,Poor,Y,C/D,IVa,GL,CGL,NPSL,60,60,Poor,0,3,0,0.5,APPAR,2,3/29/17
VT001,1,281274,001Lk,Lk,"Livingston clay, flooded",C,10,frequent,7,0,high,Poor,Y,C/D,IVa,GL,CGL,NPSL,60,60,Poor,0,3,0,0.5,APPAR,2,3/29/17
VT001,1,281275,001LmB,LmB,"Lyman-Berkshire complex, 5 to 12 percent slopes, rocky",X,7e,none,4,63,moderate,Poor,N,D,IIIa,GT,BSGT,Statewide,10,60,Poor,5,12,6,6,NONE,1,3/29/17
VT001,1,281276,001LmC,LmC,"Lyman-Berkshire complex, 12 to 20 percent slopes, rocky",X,10,none,4,63,moderate,Poor,N,D,IIIa,GT,BSGT,NPSL,10,60,Poor,12,20,6,6,NONE,1,3/29/17
VT001,1,281277,001LxC,LxC,"Lyman-Berkshire complex, 5 to 20 percent slopes, very rocky",X,10,none,5,51,moderate,Poor,N,D,IIIa,GT,BSGT,NPSL,11,60,Poor,5,20,6,6,NONE,1,3/29/17
VT001,1,281278,001LxE,LxE,"Lyman-Berkshire complex, 20 to 50 percent slopes, very rocky",X,11,none,6,31,moderate,Poor,N,D,IVb,GT,BSGT,NPSL,11,60,Poor,20,50,6,6,NONE,1,3/29/17
VT001,1,281280,001MaA,MaA,"Massena stony silt loam, 0 to 3 percent slopes",C,3d,none,4,63,high,Poor,N,C/D,IIIc,GT,AGT,Prime (b),60,60,Poor,0,3,1,1.5,APPAR,3,3/29/17
VT001,1,281281,001MnB,MnB,"Massena extremely stony silt loam, 0 to 8 percent slopes",C,11,none,5,51,high,Poor,N,C/D,IIIc,GT,AGT,NPSL,60,60,Poor,0,8,1,1.5,APPAR,3,3/29/17
VT001,1,281282,001MrA,MrA,"Melrose fine sandy loam, 0 to 3 percent slopes",C,1,none,4,63,moderate,Poor,N,C,IIa,GL,CGL,Prime,60,60,Poor,0,3,6,6,NONE,4,3/29/17
VT001,1,281283,001MrB,MrB,"Melrose fine sandy loam, 3 to 8 percent slopes",C,1,none,4,63,moderate,Poor,N,C,IIa,GL,CGL,Prime,60,60,Poor,3,8,6,6,NONE,4,3/29/17
